id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-16_1100_US_HLN_Morning_Express_With_Robin_Meade_main,2018011611,HLN Morning Express With Robin Meade,HLN,1516100402000,15.646612
2018-01-16_1000_US_CNN_Early_Start_With_Christine_Romans_and_Dave_Briggs_main,2018011610,CNN Early Start With Christine Romans and Dave Briggs,CNN,1516096801000,15.646612
2018-01-16_0700_US_KCBS_CBS_2_News_at_11PM_main,2018011607,KCBS CBS 2 News at 11PM,KCBS,1516086001000,31.293224
2018-01-16_0700_US_KABC_Eyewitness_News_11PM_main,2018011607,KABC Eyewitness News 11PM,KABC,1516086001000,29.272131
2018-01-16_0700_US_KNBC_NBC_4_News_at_11pm_main,2018011607,KNBC NBC 4 News at 11pm,KNBC,1516086001000,27.100729
2018-01-16_0600_US_KTLA_KTLA_5_News_at_10_main,2018011606,KTLA KTLA 5 News at 10,KTLA,1516082402000,11.063826
2018-01-16_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011606,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516082401000,11.063826
2018-01-16_0200_US_KNBC_NBC_4_News_at_6pm_main,2018011602,KNBC NBC 4 News at 6pm,KNBC,1516068003000,15.646612
2018-01-16_0200_US_KABC_Eyewitness_News_6PM_main,2018011602,KABC Eyewitness News 6PM,KABC,1516068002000,11.063826
2018-01-16_0200_US_KCBS_CBS_2_News_at_6PM_main,2018011602,KCBS CBS 2 News at 6PM,KCBS,1516068001000,19.163107
2018-01-16_0100_US_KABC_Eyewitness_News_5PM_main,2018011601,KABC Eyewitness News 5PM,KABC,1516064401000,11.063826
2018-01-15_2300_US_WEWS_News_5_at_6pm_main,2018011523,WEWS News 5 at 6pm,WEWS,1516057201000,11.063826
2018-01-15_1000_US_MSNBC_First_Look_main,2018011510,MSNBC First Look,MSNBC,1516010401000,11.063826
2018-01-15_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011506,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1515996001000,11.063826
2018-01-15_0200_US_KABC_Eyewitness_News_6PM_main,2018011502,KABC Eyewitness News 6PM,KABC,1515981611000,15.646612
2018-01-14_1400_US_KCBS_CBS_2_News_Sunday_main,2018011414,KCBS CBS 2 News Sunday,KCBS,1515938401000,11.063826
2018-01-14_0700_US_KABC_Eyewitness_News_11PM_main,2018011407,KABC Eyewitness News 11PM,KABC,1515913201000,24.739466
2018-01-14_0700_US_KNBC_NBC_4_News_at_11pm_main,2018011407,KNBC NBC 4 News at 11pm,KNBC,1515913201000,22.127651
2018-01-14_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018011406,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1515909601000,19.163107
2018-01-14_0500_US_KCBS_Entertainment_Tonight_main,2018011405,KCBS Entertainment Tonight,KCBS,1515906001000,27.100729
2018-01-14_0400_US_KCAL_KCAL_9_News_at_8PM_main,2018011404,KCAL KCAL 9 News at 8PM,KCAL,1515902401000,11.063826
2018-01-14_0200_US_KABC_Eyewitness_News_6PM_main,2018011402,KABC Eyewitness News 6PM,KABC,1515895201000,19.163107
2018-01-14_0200_US_KNBC_NBC_4_News_main,2018011402,KNBC NBC 4 News,KNBC,1515895201000,19.163107
2018-01-14_0100_US_KNBC_NBC_4_News_main,2018011401,KNBC NBC 4 News,KNBC,1515891601000,15.646612
2018-01-14_0100_US_KABC_Eyewitness_News_5PM_main,2018011401,KABC Eyewitness News 5PM,KABC,1515891601000,11.063826
2018-01-14_0000_US_KABC_Eyewitness_News_4PM_main,2018011400,KABC Eyewitness News 4PM,KABC,1515888001000,27.100729
